,Image,F1,Jaccard,Recall,Precision
106,2840.png,0.9421973179555532,0.8907117876980045,0.9130641079713201,0.973250913177859
107,1632.png,0.764512595837897,0.6187943262411347,0.9112271540469974,0.6584905660377358
108,207.png,0.9012106090010167,0.8201850294365013,0.9016272189349113,0.9007943838906337
109,2746.png,0.6952213520856639,0.5328270455658991,0.5537169042769857,0.9338772005152426
110,161.png,0.6210045662100456,0.4503311258278146,0.4503311258278146,1.0
111,2917.png,0.9528831433917333,0.910006497725796,0.9668622713151536,0.9393024815560027
112,3722.png,0.9330867518493612,0.8745666561613615,0.897767712714332,0.9712985649282464
113,3643.png,0.818240873067429,0.6923922603342129,0.7035299374441466,0.9776466935734244
114,1548.png,0.9614973262032086,0.925849639546859,0.9739978331527628,0.9493136219640972
115,3675.png,0.9401351786289025,0.8870331005162466,0.8948228326355561,0.9902813877274268
116,3738.png,0.9515859766277128,0.9076433121019108,0.9509056244041945,0.9522673031026253
117,104.png,0.9036668738346799,0.8242630385487528,0.8404624277456647,0.9771505376344086
118,3206.png,0.9227712937670722,0.8566159520516367,0.9638179224484502,0.8850780040490651
119,3365.png,0.7762719020477095,0.6343499861992824,0.6697996357012751,0.922991967871486
120,1905.png,0.8930041152263375,0.8066914498141264,0.8761776581426649,0.9104895104895104
121,119.png,0.9577525198370147,0.9189300411522634,0.9354838709677419,0.9811072056239016
122,1029.png,0.9392647842301546,0.8854846810647916,0.9308342133051742,0.9478494623655914
123,3305.png,0.7000251445813426,0.5384912959381044,0.5598230444399759,0.9339147936933915
124,1452.png,0.9617711771177119,0.9263576158940398,0.9762702400893356,0.9476964769647697
125,3053.png,0.8993123772102161,0.8170459616242749,0.9313326551373347,0.869420702754036
126,931.png,0.9405363389040031,0.8877476155539251,0.9132075471698113,0.969551282051282
127,2858.png,0.9384392630685506,0.8840184366475402,0.8875666997213959,0.9954981198029765
128,3762.png,0.68781774888989,0.5241785188818048,0.5619348054679285,0.8863824846574888
